"filename", "language", "C++", "CMake", "JSON", "HTML", "YAML", "Swift", "Dart", "XML", "Groovy", "comment", "blank", "total"
"d:\Projects\FlutterProjects\neuroparenting\lib\src\reusable_func\theme_change.dart", "Dart", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 1, 6
"d:\Projects\FlutterProjects\neuroparenting\lib\src\reusable_func\theme_controller.dart", "Dart", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 2, 6
"d:\Projects\FlutterProjects\neuroparenting\lib\src\theme\invert_color.dart", "Dart", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 3, 10
"d:\Projects\FlutterProjects\neuroparenting\linux\flutter\generated_plugin_registrant.cc", "C++", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"d:\Projects\FlutterProjects\neuroparenting\linux\flutter\generated_plugins.cmake", "CMake", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"d:\Projects\FlutterProjects\neuroparenting\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 16
"d:\Projects\FlutterProjects\neuroparenting\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"d:\Projects\FlutterProjects\neuroparenting\macos\firebase_app_id_file.json", "JSON", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 7
"d:\Projects\FlutterProjects\neuroparenting\public\index.html", "HTML", 0, 0, 0, 79, 0, 0, 0, 0, 0, 6, 5, 90
"d:\Projects\FlutterProjects\neuroparenting\pubspec.yaml", "YAML", 0, 0, 0, 0, 46, 0, 0, 0, 0, 0, 4, 50
"d:\Projects\FlutterProjects\neuroparenting\web\index.html", "HTML", 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 10, 75
"d:\Projects\FlutterProjects\neuroparenting\web\manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"d:\Projects\FlutterProjects\neuroparenting\windows\flutter\generated_plugin_registrant.cc", "C++", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21
"d:\Projects\FlutterProjects\neuroparenting\windows\flutter\generated_plugins.cmake", "CMake", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"Total", "-", 29, 9, 70, 144, 46, 16, 1802, 105, 5, 43, 122, 2391
