"filename", "language", "JSON", "C++", "CMake", "HTML", "Dart", "YAML", "Swift", "XML", "Groovy", "Properties", "comment", "blank", "total"
"d:\Projects\FlutterProjects\neuroparenting\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 4, 1, 8
"d:\Projects\FlutterProjects\neuroparenting\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 31, 0, 2, 8, 41
"d:\Projects\FlutterProjects\neuroparenting\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 4
"d:\Projects\FlutterProjects\neuroparenting\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"d:\Projects\FlutterProjects\neuroparenting\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 6, 30
"d:\Projects\FlutterProjects\neuroparenting\assets\icons\english_lang.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 61, 0, 0, 0, 0, 61
"d:\Projects\FlutterProjects\neuroparenting\assets\icons\indonesian_lang.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Projects\FlutterProjects\neuroparenting\assets\icons\logo_black.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 1, 39
"d:\Projects\FlutterProjects\neuroparenting\assets\images\changepw1_dark.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Projects\FlutterProjects\neuroparenting\assets\images\changepw1_light.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Projects\FlutterProjects\neuroparenting\assets\images\forgot1_dark.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Projects\FlutterProjects\neuroparenting\assets\images\forgot1_light.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Projects\FlutterProjects\neuroparenting\assets\images\login1_dark.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Projects\FlutterProjects\neuroparenting\assets\images\login1_light.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Projects\FlutterProjects\neuroparenting\assets\images\onboarding1_dark.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Projects\FlutterProjects\neuroparenting\assets\images\onboarding1_light.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Projects\FlutterProjects\neuroparenting\assets\images\onboarding2_dark.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Projects\FlutterProjects\neuroparenting\assets\images\onboarding2_light.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Projects\FlutterProjects\neuroparenting\assets\images\parent1_dark.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Projects\FlutterProjects\neuroparenting\assets\images\parent1_light.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Projects\FlutterProjects\neuroparenting\assets\images\register1_dark.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 40
"d:\Projects\FlutterProjects\neuroparenting\assets\images\register1_light.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 40
"d:\Projects\FlutterProjects\neuroparenting\assets\images\start1.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Projects\FlutterProjects\neuroparenting\assets\images\start1_dark.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Projects\FlutterProjects\neuroparenting\assets\images\start1_light.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Projects\FlutterProjects\neuroparenting\assets\images\under_construction_dark.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Projects\FlutterProjects\neuroparenting\assets\images\under_construction_light.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Projects\FlutterProjects\neuroparenting\assets\lang\en.json", "JSON", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"d:\Projects\FlutterProjects\neuroparenting\assets\lang\id.json", "JSON", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11
"d:\Projects\FlutterProjects\neuroparenting\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 2, 4, 13
"d:\Projects\FlutterProjects\neuroparenting\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"d:\Projects\FlutterProjects\neuroparenting\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"d:\Projects\FlutterProjects\neuroparenting\ios\Runner\Assets.xcassets\LaunchBackground.imageset\Contents.json", "JSON", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23
"d:\Projects\FlutterProjects\neuroparenting\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 57
"d:\Projects\FlutterProjects\neuroparenting\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 43, 0, 0, 1, 1, 45
"d:\Projects\FlutterProjects\neuroparenting\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 1, 1, 27
"d:\Projects\FlutterProjects\neuroparenting\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Projects\FlutterProjects\neuroparenting\ios\firebase_app_id_file.json", "JSON", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7
"d:\Projects\FlutterProjects\neuroparenting\lib\firebase_options.dart", "Dart", 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 12, 6, 86
"d:\Projects\FlutterProjects\neuroparenting\lib\main.dart", "Dart", 0, 0, 0, 0, 64, 0, 0, 0, 0, 0, 1, 10, 75
"d:\Projects\FlutterProjects\neuroparenting\lib\src\db\auth\forgot_password_api.dart", "Dart", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 1, 3, 18
"d:\Projects\FlutterProjects\neuroparenting\lib\src\db\auth\login_api.dart", "Dart", 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 13, 6, 61
"d:\Projects\FlutterProjects\neuroparenting\lib\src\db\auth\logout.dart", "Dart", 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 3, 10
"d:\Projects\FlutterProjects\neuroparenting\lib\src\db\auth\register_api.dart", "Dart", 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 11, 13, 75
"d:\Projects\FlutterProjects\neuroparenting\lib\src\db\forum\forum_api.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"d:\Projects\FlutterProjects\neuroparenting\lib\src\db\homepage\homepage_api.dart", "Dart", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 1, 4, 19
"d:\Projects\FlutterProjects\neuroparenting\lib\src\db\settings\change_email_api.dart", "Dart", 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 4, 21
"d:\Projects\FlutterProjects\neuroparenting\lib\src\db\settings\change_name_api.dart", "Dart", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 2, 6, 35
"d:\Projects\FlutterProjects\neuroparenting\lib\src\db\settings\change_password_api.dart", "Dart", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 1, 5, 31
"d:\Projects\FlutterProjects\neuroparenting\lib\src\homebody.dart", "Dart", 0, 0, 0, 0, 164, 0, 0, 0, 0, 0, 3, 9, 176
"d:\Projects\FlutterProjects\neuroparenting\lib\src\homepage.dart", "Dart", 0, 0, 0, 0, 181, 0, 0, 0, 0, 0, 1, 13, 195
"d:\Projects\FlutterProjects\neuroparenting\lib\src\localization\app_localizations.dart", "Dart", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 9, 32
