"filename", "language", "YAML", "Dart", "C++", "Markdown", "CMake", "JSON", "Swift", "HTML", "XML", "Properties", "Groovy", "comment", "blank", "total"
"d:\Projects\FlutterProjects\neuroparenting\lib\src\localization\app_localizations.dart", "Dart", 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 32
"d:\Projects\FlutterProjects\neuroparenting\lib\src\localization\app_localizations_delegate.dart", "Dart", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"d:\Projects\FlutterProjects\neuroparenting\lib\src\localization\translate_lang.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\auth\forgot_password.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\auth\login.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\auth\parent_selection.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\auth\register.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\auth\start.dart", "Dart", 0, 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 105
"d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\campaign\campaign.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\chatbot\chatbot.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\consult\consult.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\course\course.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\forum\forum.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\games\games.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\onboarding\onboarding_base.dart", "Dart", 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 60
"d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\onboarding\onboarding_screen.dart", "Dart", 0, 139, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 6, 153
"d:\Projects\FlutterProjects\neuroparenting\lib\src\pages\settings\settings.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\Projects\FlutterProjects\neuroparenting\lib\src\reusable_comp\language_changer.dart", "Dart", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 41
"d:\Projects\FlutterProjects\neuroparenting\lib\src\reusable_comp\theme_changer.dart", "Dart", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"d:\Projects\FlutterProjects\neuroparenting\lib\src\reusable_func\localization_change.dart", "Dart", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 21
"d:\Projects\FlutterProjects\neuroparenting\lib\src\reusable_func\theme_change.dart", "Dart", 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 18
"d:\Projects\FlutterProjects\neuroparenting\lib\src\theme\theme.dart", "Dart", 0, 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 46
"d:\Projects\FlutterProjects\neuroparenting\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 16
"d:\Projects\FlutterProjects\neuroparenting\linux\flutter\generated_plugin_registrant.h", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"d:\Projects\FlutterProjects\neuroparenting\linux\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 6, 25
"d:\Projects\FlutterProjects\neuroparenting\linux\main.cc", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\Projects\FlutterProjects\neuroparenting\linux\my_application.cc", "C++", 0, 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 11, 20, 105
"d:\Projects\FlutterProjects\neuroparenting\linux\my_application.h", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"d:\Projects\FlutterProjects\neuroparenting\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 3, 4, 15
"d:\Projects\FlutterProjects\neuroparenting\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 4, 13
"d:\Projects\FlutterProjects\neuroparenting\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"d:\Projects\FlutterProjects\neuroparenting\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 0, 0, 1, 69
"d:\Projects\FlutterProjects\neuroparenting\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 1, 344
"d:\Projects\FlutterProjects\neuroparenting\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 4, 16
"d:\Projects\FlutterProjects\neuroparenting\pubspec.yaml", "YAML", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 15, 102
"d:\Projects\FlutterProjects\neuroparenting\test\widget_test.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"d:\Projects\FlutterProjects\neuroparenting\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 16, 6, 60
"d:\Projects\FlutterProjects\neuroparenting\web\manifest.json", "JSON", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 1, 36
"d:\Projects\FlutterProjects\neuroparenting\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 15
